,Overall Survival (Months)
UBE2Q2P2,-0.027782433788046675
SSX9,0.10501376646617745
CXORF67,-0.006035548753196937
EFCAB8,0.08948217291818321
SDR16C6P,0.02475716949282235
EFCAB12,0.08558046820811194
A1BG,0.030216337308101096
A1CF,-0.038130575472928745
RBFOX1,-0.031175655519155947
GGACT,-0.1113708537536864
A2ML1,-0.002882795113663409
A2M,-0.011014209723290565
A4GALT,0.014867822307248717
A4GNT,-0.025718269410736332
AAAS,0.04466280269297409
AACSP1,-0.03624541338457683
AACS,-0.04642903746513555
AADACL2,-0.042229665450358715
AADACL3,0.007233115152804134
AADACL4,-0.006474312410886506
AADAC,-0.02692479373888598
AAGAB,-0.06996639067557997
AAK1,-0.07742540848135732
AAMP,0.10460505214905229
AANAT,-0.04115432937669434
AARS2,0.05761740030837766
AARSD1,0.10989317883140977
AARS,0.05310661529157479
AASDHPPT,0.004037690390670362
AASDH,-0.05499404578027355
AASS,-0.005053215059791816
AATF,-0.04689610086869727
AATK,-0.037792670414816945
ABAT,0.14340777386899464
ABCA10,-0.03126773309661977
ABCA11P,-0.004398287514086722
ABCA12,-0.0331027918816679
ABCA13,0.09727139180338615
ABCA17P,-0.0293797085646349
ABCA1,-0.05108695209955253
ABCA2,-0.06718169907287233
ABCA3,0.04670414078596494
ABCA4,-0.0727534885781915
ABCA5,0.06641566953279476
ABCA6,-0.03386982230390622
ABCA7,0.01940499084497719
ABCA8,0.04001791260694775
ABCA9,-0.033699342256161315
ABCB10,-0.061814766398256976
ABCB11,-0.006768647323466344
ABCB1,-0.013678038572732745
ABCB4,-0.021508774083944512
ABCB6,0.05212832390171593
ABCB7,0.0010359788673917015
ABCB8,0.04321771616127316
ABCB9,-0.07549152907566459
ABCC11,0.19922598421656768
ABCC12,0.04241360831269247
ABCC13,-0.023884883432186272
ABCC1,-0.06288134476564985
ABCC2,-0.027885712423622002
ABCC3,-0.04152830357133412
ABCC4,-0.0058993039234551264
ABCC5,-0.034558266584000824
ABCC6P1,-0.010584588756539852
ABCC6,0.050222092020606506
ABCC8,0.010375453799264791
ABCC9,0.015694468815423555
ABCD1,-0.035551250393359074
ABCD2,-0.020788515354895114
ABCD3,0.013930627327595264
ABCD4,0.02611245905220469
ABCE1,-0.013764750726908795
ABCF1,0.009490539777687807
ABCF2,-0.005029584695579752
ABCG1,0.07266276317997314
ABCG2,0.01231367876537598
ABCG4,0.03580835012107028
ABCG5,-0.03452225373410155
ABCG8,0.004115172910258368
ABHD10,0.06277296510647516
ABHD11,0.11272551828395844
ABHD12B,0.06961994044953106
ABHD12,0.15691039110471885
ABHD13,-0.04026032727346373
ABHD14A,0.1641320622494704
ABHD14B,0.09559828035023803
ABHD15,-0.06976600691841915
ABHD1,0.059349177307209504
ABHD2,-0.017198680558142627
ABHD3,-0.03056544938225018
ABHD4,0.052758298409921536
ABHD5,-0.03582192969146174
ABHD6,0.0898079402609319
ABHD8,0.13247630279590744
ABI1,-0.07694036652992207
ABI2,0.0079731965130226
ABI3BP,-0.004543026081363171
ABI3,0.015223140050762704
ABL1,-0.07362464150350312
ABL2,-0.10921439810034328
ABLIM1,0.02890698822965848
ABLIM2,-0.0635085744908342
ABLIM3,-0.07076488008482454
ABO,-0.04494483562792367
AOC1,0.07553939768157386
ABRA,0.05865471067829238
ABR,-0.04174009611927533
ABT1,0.07285683290602624
ABTB1,-0.006615631770414757
ABTB2,-0.029443671368253616
ACAA1,0.05550554821804388
ACAA2,-0.0036056643693331493
ACACA,0.0166979058075761
ACACB,-0.0138880655136345
ACAD10,0.04835112038302632
ACAD11,0.034405562333218044
ACAD8,0.015205860649582422
ACAD9,0.24470850509807388
ACADL,0.06965441253362029
ACADM,0.012613065786493438
ACADSB,-0.004876555355298409
ACADS,0.016726108372557624
ACADVL,0.025135395593598932
ACAN,-0.030406333009267594
ACAP1,0.010656406607959024
ACAP2,-0.039569875442503066
ACAP3,0.05768949119376703
ACAT1,0.13595674404410985
ACAT2,0.0025348455046467606
ACBD3,-0.1234277752109379
ACBD4,0.05268813641613459
ACBD5,-0.07793818050604345
ACBD6,0.04676157196206601
ACBD7,0.043026228287851805
ASIC2,-0.03196920137712362
ASIC1,-0.0027012116646428193
ASIC3,-0.007347728877313216
ASIC4,-0.021941766937982644
ASIC5,0.07611103875112604
ACCSL,0.06300410729126057
ACCS,0.026757811847246824
ACD,0.19067246746419525
ACE2,0.012621623125089045
ACER1,-0.014542572086128526
ACER2,0.01972097927294298
ACER3,-0.025168020703103748
ACE,0.026543188363251247
ACHE,-0.002144330928659952
ACIN1,0.04414432003802699
ACLY,-0.010350770904804334
