HUG0_SYMBOL,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Arginine and proline metabolism,Cholesterol metabolism,Cysteine and methionine metabolism,D-Glutamine and D-glutamate metabolism,Drug metabolism - cytochrome P450,Drug metabolism - other enzymes,Fatty acid biosynthesis ,Biosynthesis of unsaturated fatty acids ,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Nitrogen metabolism,Oxidative phosphorylation,Pentose and glucuronate interconversions   ,Pentose phosphate pathway,Primary bile acid biosynthesis     ,Secondary bile acid biosynthesis,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Riboflavin metabolism,Starch and sucrose metabolism,Taurine and hypotaurine metabolism,Folate biosynthesis,"Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine biosynthesis",Fatty acid degradation,Type II diabetes mellitus,Overall Survival (Months)
TCGA-05-4244-01,1182.759063,3730.956963,443.7058175,394.0978862,47.23848689,613.9579193,612.4711226,612.4711226,2656.59495,2656.59495,55.35964531,389.9564112,499.3556971,67.31333151,84.3590956,6236.976885,4227.664685,486.8286757,1907.001864,61.17791954,1109.09906,659.7469134,659.7469134,4531.559823,3716.376792,490.7830201,20.74200066,141.8023313,27.97106211,2005.357502,1438.217683,1438.217683,226.4372765,591.5661229,0
TCGA-05-4249-01,831.1500969,3119.593756,307.6860771,584.2542337,54.27801238,470.5295335,348.707611,348.707611,1837.158486,1837.158486,61.08483178,449.4543789,426.091846,64.43623085,72.93961838,4197.218708,4346.34788,324.1529775,1721.956824,11.36606119,1128.549442,528.1886249,528.1886249,3258.249916,3563.067104,496.710316,26.5900121,151.0242235,7.238051152,1449.729944,1230.095224,1230.095224,46.47760571,477.9443728,50.03
TCGA-05-4250-01,1117.471909,3207.378555,492.6598187,466.1124804,40.31250927,724.7122164,629.1939092,629.1939092,2323.814354,2323.814354,55.35964531,320.0312963,652.5834139,65.12682829,154.3578422,5798.885365,4492.261984,417.9829248,1439.65784,4.869742013,1396.770731,663.9176975,663.9176975,5060.212127,4376.216458,784.369347,51.25072775,92.16906841,25.36647308,1840.929439,1185.741313,1185.741313,178.9518949,602.3813237,3.98
TCGA-05-4382-01,910.0243458,3890.74732,398.548271,600.0057733,36.38470306,517.076824,347.7687398,347.7687398,1993.588058,1993.588058,76.59128585,492.6633333,428.0272632,66.49691415,147.1315435,5456.401707,4481.163625,236.8827613,1996.208415,11.03400486,1384.333801,558.9190484,558.9190484,3752.296478,4076.897556,443.4680994,31.86041862,179.150303,7.67500001,1605.62286,1536.08833,1536.08833,50.21562265,515.4624773,19.94
TCGA-05-4384-01,872.9689208,3266.725276,295.6646155,639.6768829,48.37176159,519.2495117,416.4700138,416.4700138,2211.113585,2211.113585,72.40734175,604.3177682,500.0991811,87.42791636,130.8668808,4301.002379,4213.695506,323.976584,1838.55224,6.832430415,917.5285683,575.8602373,575.8602373,3800.636785,3566.339634,367.7912463,30.68460049,168.2416716,9.812770168,1634.572568,1185.229878,1185.229878,42.44354435,511.5393066,13.99
TCGA-05-4389-01,820.5419775,3119.542684,318.8667572,311.3056965,54.0255272,705.5282672,380.7492977,380.7492977,1816.706134,1816.706134,67.11801859,538.8701111,483.0788123,67.27372504,66.04438061,4218.319439,4135.749689,303.9897014,1879.219879,8.043251574,1127.502995,560.7274564,560.7274564,2954.643988,3063.033522,326.5174954,34.99583676,168.5110788,9.781519124,1313.895449,664.0321962,664.0321962,28.74608507,480.4694952,44.97
TCGA-05-4390-01,835.1829822,3198.733909,376.3278534,476.2015768,20.81986265,689.9765783,329.9345055,329.9345055,2113.541572,2113.541572,65.46607373,600.1824623,493.900216,67.66127882,129.920704,5575.797402,4465.72686,325.0074898,1861.726475,6.800698855,1135.816619,603.4651161,603.4651161,3242.789863,3362.296244,412.6021919,39.94598158,184.7305197,11.67177913,1426.866108,688.6247657,688.6247657,33.8604337,512.6844114,36.99
TCGA-05-4395-01,1318.384452,3700.621599,527.654591,305.1576116,49.06812883,848.2827682,709.9102421,709.9102421,2133.966627,2133.966627,55.35964531,182.0907459,601.861691,59.32671677,257.4454551,7414.240338,5023.10948,570.4854642,2366.853831,102.2798108,1197.336073,670.6748552,670.6748552,4896.479788,4687.716334,781.1484606,20.74200066,52.87266045,21.42635307,1885.281718,654.9177962,654.9177962,166.6707879,603.4019971,0
TCGA-05-4396-01,804.8976972,3164.387777,506.8425655,517.2288738,93.76424043,655.2516701,486.5938622,486.5938622,2136.660344,2136.660344,55.35964531,251.7492848,515.0573483,22.87373605,59.71942601,3937.330228,4056.517168,300.7329339,1486.92048,16.17326265,1002.383134,531.2430192,531.2430192,3802.502514,3718.327432,406.7137031,20.74200066,83.22428523,10.1221771,1509.613174,1443.178348,1443.178348,41.92040487,517.5964187,9.95
TCGA-05-4397-01,834.7629472,3383.792947,446.9714644,417.3823335,27.76801296,677.7385343,324.625325,324.625325,2270.490697,2270.490697,83.67468113,747.8543399,428.6238723,55.32951568,112.2208906,6155.295535,4245.478927,355.6569392,1937.213741,11.76740405,1178.644954,587.5706593,587.5706593,3211.762794,3370.993638,403.5998417,30.38089596,211.8611321,12.60491584,1420.42481,971.8385841,971.8385841,39.19150927,574.6136994,24.01
TCGA-05-4398-01,896.6019035,3545.365892,585.0874791,395.0889512,14.98010905,662.0532577,347.3507289,347.3507289,1972.119478,1972.119478,59.07273438,594.9817074,537.2464746,76.87666266,184.6072376,8798.578981,4446.181547,402.0057462,1946.273759,7.993012585,1267.765582,603.2560719,603.2560719,4272.93582,4656.378763,732.9941189,49.45804026,193.3311161,9.094724732,1719.819139,1164.343357,1164.343357,42.21250482,494.0662321,47.01
TCGA-05-4402-01,868.6964748,3591.389797,238.7462415,272.8882199,36.85230671,516.5712792,485.472793,485.472793,2278.073438,2278.073438,55.35964531,327.3033871,452.653261,2.560617396,183.4917418,7150.501438,4436.677608,280.0269636,2017.797329,41.6968257,1017.755634,600.8159397,600.8159397,4041.168992,4075.992352,497.1849894,6.11739813,114.5471555,14.82387417,1578.022496,1266.767248,1266.767248,74.3978952,549.3350419,8.02
TCGA-05-4403-01,966.9764622,3573.367509,186.908953,486.1931949,37.00726611,476.9350183,410.0278454,410.0278454,2176.219986,2176.219986,41.54563251,614.4042807,329.1379977,64.01908899,84.35267241,4375.254275,4199.13922,383.8715168,2672.771973,12.05675658,832.7994077,548.4249184,548.4249184,3757.545599,3644.023827,475.6692743,16.40191405,189.8213588,10.7089675,1497.211754,1482.44468,1482.44468,67.10404195,591.033924,18.99
